Timestamp,1. What is your age group?,2. What is your gender?,3. What is your occupation?,4. What is your education level?,5. Do you visit a doctor when you feel sick?,6. Are healthcare facilities available near your area?,7. Have you participated in any health awareness program before?,8. Which health problem is most common in your area?,9. Do you think regular health checkups are important?,10. Do you know basic first aid practices?,11. Do you wash your hands before meals?,12. What type of drinking water do you use?,13. Do you maintain cleanliness around your home?,14. Are proper sanitation facilities available in your area?,15. Do you think poor hygiene can cause diseases?,16. Do you use a smartphone?,17. Have you ever searched for health information online?,18. Would you use a digital health assistance application for health tips and guidance?,19. Which language would you prefer in a health awareness application?,20. Do you think technology can improve healthcare awareness in rural communities?
5/23/2026 11:54:24,15–25,Female,Student,Degree and above,Rarely,Yes,No,Fever,Yes,Yes,Always,Filtered water,Daily,Yes,Yes,Yes,Yes,Yes,English,Yes
5/23/2026 19:13:57,15–25,Female,Student,Degree and above,Sometimes,Yes,No,Cold & cough,Yes,Little knowledge,Always,Filtered water,Daily,Yes,Yes,Yes,Sometimes,Yes,Both,Yes
5/23/2026 19:29:20,15–25,Female,Student,Degree and above,Rarely,Yes,No,Cold & cough,Maybe,Yes,Always,Filtered water,Daily,Yes,Yes,Yes,Yes,Yes,Both,Yes
5/23/2026 19:46:25,26–45,Male,Student,Degree and above,Always,Yes,No,Other,Yes,Yes,Always,Boiled water,Daily,No,Yes,Yes,Yes,Yes,English,Yes
5/23/2026 20:23:28,46–60,Male,Farmer,Primary school,Sometimes,No,No,Skin problems,,,Sometimes,Bore water,Weekly,Partially,Maybe,No,No,Maybe,Telugu,Maybe
5/23/2026 20:29:51,46–60,Female,Farmer,No formal education,Sometimes,Yes,Yes,Other,Yes,No,Always,Bore water,Daily,Yes,Yes,No,No,No,Telugu,No
5/23/2026 20:32:09,26–45,Male,Employee,Intermediate,Always,Yes,No,Other,Yes,No,Always,Filtered water,Daily,Yes,Yes,Yes,No,No,Telugu,No
5/23/2026 20:34:15,Above 60,Male,Farmer,No formal education,Always,Yes,No,Other,Yes,No,Always,Tap water,Daily,Yes,Yes,No,No,No,Telugu,Yes
5/23/2026 20:35:22,15–25,Female,Employee,Degree and above,Always,Yes,Yes,Cold & cough,Yes,Yes,Always,Boiled water,Daily,Yes,Yes,Yes,Yes,Yes,Both,Yes
5/23/2026 20:36:59,46–60,Male,Homemaker,Primary school,Sometimes,Yes,No,Other,Yes,No,Always,Filtered water,Daily,Yes,Yes,No,No,No,Telugu,No
5/23/2026 20:40:52,15–25,Female,Student,Degree and above,Sometimes,Yes,Yes,Cold & cough,Yes,Yes,Always,Filtered water,Daily,Yes,No,Yes,Sometimes,Yes,Both,Yes
5/23/2026 21:15:32,15–25,Female,Student,Degree and above,Sometimes,Very far,No,Fever,Yes,Little knowledge,Sometimes,Filtered water,Daily,Partially,Yes,Yes,Sometimes,Yes,Both,Yes
5/24/2026 7:22:46,15–25,Male,Student,Degree and above,Sometimes,Yes,No,Fever,No,No,Always,Filtered water,Daily,Yes,Maybe,Yes,No,Maybe,Both,Yes
5/25/2026 19:39:55,15–25,Female,Student,No formal education,Always,Yes,No,Fever,Yes,Yes,Sometimes,Filtered water,Daily,Partially,No,Yes,No,No,Telugu,Yes
5/26/2026 14:04:03,15–25,Female,Student,Degree and above,Sometimes,Yes,No,Cold & cough,Yes,Little knowledge,Sometimes,Filtered water,Weekly,Yes,Yes,Yes,No,Yes,English,Yes
5/26/2026 14:08:58,15–25,Female,Student,Degree and above,Sometimes,Very far,No,Cold & cough,Maybe,Little knowledge,Always,Filtered water,Daily,Partially,Yes,Yes,Sometimes,No,Both,Maybe